TimeSeconds,parsedDate,dateTimeStr,ipLayerProtocol,ipLayerProtocolCode,firstSeenSrcIp,firstSeenDestIp,firstSeenSrcPort,firstSeenDestPort,moreFragments,contFragments,durationSeconds,firstSeenSrcPayloadBytes,firstSeenDestPayloadBytes,firstSeenSrcTotalBytes,firstSeenDestTotalBytes,firstSeenSrcPacketCount,firstSeenDestPacketCount,recordForceOut
1364802616.290452,2013-04-01 07:50:16,20130401075016.290452,17,UDP,172.20.0.3,172.255.255.255,137,137,0,0,29,600,0,1104,0,12,0,0
1364802621.0921521,2013-04-01 07:50:21,20130401075021.092152,17,UDP,172.10.0.40,172.255.255.255,137,137,0,0,0,100,0,184,0,2,0,0
1364803500.0043371,2013-04-01 08:05:00,20130401080500.004337,6,TCP,172.10.1.17,10.0.0.13,5040,80,0,0,0,176,409,454,633,5,4,0
1364803501.909256,2013-04-01 08:05:01,20130401080501.909256,6,TCP,172.10.1.9,10.1.0.77,5067,80,0,0,0,176,409,454,633,5,4,0
1364803501.9320681,2013-04-01 08:05:01,20130401080501.932068,6,TCP,172.30.2.114,10.0.0.9,8749,80,0,0,0,175,408,453,632,5,4,0
1364803501.923974,2013-04-01 08:05:01,20130401080501.923974,6,TCP,172.30.1.140,10.0.0.14,9628,80,0,0,0,176,409,454,633,5,4,0
1364803501.922128,2013-04-01 08:05:01,20130401080501.922128,6,TCP,172.30.1.197,10.0.0.7,9627,80,0,0,0,175,408,453,632,5,4,0
1364803501.9189351,2013-04-01 08:05:01,20130401080501.918935,6,TCP,172.30.1.173,10.0.0.12,9625,80,0,0,0,176,409,454,633,5,4,0
1364803501.918189,2013-04-01 08:05:01,20130401080501.918189,6,TCP,172.30.1.190,10.0.0.8,9624,80,0,0,0,175,408,453,632,5,4,0
1364803501.867722,2013-04-01 08:05:01,20130401080501.867722,6,TCP,172.10.2.102,10.0.0.11,3526,80,0,0,0,152,409,430,633,5,4,0
1364803501.8780551,2013-04-01 08:05:01,20130401080501.878055,6,TCP,172.10.1.13,10.0.0.13,5066,80,0,0,0,176,409,454,633,5,4,0
1364803501.8719139,2013-04-01 08:05:01,20130401080501.871914,6,TCP,172.10.1.56,10.0.0.8,5065,80,0,0,0,175,408,453,632,5,4,0
1364803501.840167,2013-04-01 08:05:01,20130401080501.840167,6,TCP,10.138.214.18,172.20.0.15,2632,80,0,0,0,190,7426,576,7866,7,8,0
1364803501.8201931,2013-04-01 08:05:01,20130401080501.820193,6,TCP,10.156.165.212,172.30.0.4,2629,80,0,0,0,187,2143,465,2367,5,4,0
